1,3,37,0,0,0,0,0
1,0,49,0,0,0,7,1
1,2,24,0,0,0,1,1
1,1,34,2,1,3,21,1
1,1,25,0,0,0,0,0
1,2,48,0,0,0,20,1
1,1,35,0,0,0,5,0
0,1,26,0,0,0,1,1
1,1,66,0,0,0,0,0
1,1,52,0,0,0,3,0
0,3,44,0,0,0,0,0
0,2,39,0,0,0,0,1
1,1,21,0,0,0,3,1
1,1,22,0,0,0,0,1
1,2,31,0,0,0,13,1
1,5,33,0,0,0,2,0
1,2,61,0,0,0,0,0
0,2,25,0,0,0,0,0
1,1,32,0,0,0,3,1
1,0,52,0,0,0,13,1
1,1,31,0,0,0,0,0
1,3,23,0,0,0,0,0
0,2,37,0,0,0,6,0
1,2,55,0,0,0,1,0
1,1,38,2,2,1,22,1
0,0,52,0,0,0,0,1
1,2,45,0,0,0,2,0
1,1,38,0,0,0,0,0
1,2,56,0,0,0,7,1
1,2,47,0,0,0,1,0
1,2,31,0,0,0,0,1
1,1,28,0,0,0,25,1
1,1,25,0,0,0,0,0
1,2,22,0,0,1,1,1
0,1,30,1,0,0,2,0
0,0,37,0,0,0,0,0
1,0,24,0,0,0,0,0
1,1,27,0,0,0,3,1
0,2,23,0,0,4,5,1
1,1,30,0,0,0,2,1
1,1,34,0,0,0,5,0
1,2,62,0,0,0,0,0
0,1,32,0,0,0,5,0
1,1,48,0,0,0,8,0
0,1,22,0,0,0,0,0
1,1,22,0,0,0,2,0
0,1,25,0,0,0,2,0
1,3,27,0,0,0,0,0
1,1,34,1,0,0,11,0
1,1,29,0,1,0,7,0
0,2,53,0,0,0,1,0
1,1,28,0,0,0,5,1
1,2,68,0,0,0,2,0
1,1,32,0,0,0,3,0
1,3,21,0,0,0,0,0
1,1,20,0,0,0,0,1
1,1,57,0,0,0,1,1
1,2,24,0,1,1,3,1
1,1,24,0,0,0,4,0
1,3,28,0,0,0,2,1
1,2,61,0,0,0,4,0
1,2,24,0,0,0,0,0
1,2,34,0,0,0,0,0
1,1,21,0,0,0,1,0
1,2,42,0,0,0,1,0
1,2,51,0,0,0,0,0
1,2,59,0,0,0,1,1
0,3,22,0,0,0,2,1
1,1,66,0,0,0,33,1
1,2,27,0,0,0,2,0
1,2,23,0,0,0,0,0
1,3,32,1,1,0,20,0
0,2,26,0,0,0,0,0
1,1,27,0,0,0,5,1
1,2,40,0,0,0,5,0
1,1,27,0,0,0,5,1
1,3,64,0,0,0,1,0
1,2,50,0,0,0,5,1
0,2,31,0,0,0,0,0
0,3,48,0,0,0,0,0
1,1,31,0,0,0,3,1
1,1,22,0,0,0,11,1
1,3,36,0,0,0,1,1
1,0,50,0,0,0,4,0
1,1,30,0,0,0,1,0
0,2,59,0,0,0,0,0
1,2,38,0,0,0,0,0
1,3,60,0,0,0,0,0
1,2,28,0,0,0,1,0
1,2,29,0,0,0,2,1
0,1,22,0,0,0,0,0
1,1,31,0,0,0,1,0
1,1,24,0,0,0,4,1
1,2,23,0,2,0,3,1
1,1,38,0,0,0,11,0
1,1,36,0,0,0,0,1
1,2,30,0,0,0,0,0
1,1,57,0,0,0,20,1
1,1,28,0,0,0,2,0
1,2,53,0,0,0,1,0
1,3,23,0,0,0,0,0
0,2,46,0,0,0,2,0
1,2,62,0,0,0,0,0
1,1,29,0,0,0,7,0
0,1,36,0,0,0,4,1
0,3,53,0,0,0,0,0
0,2,45,0,0,0,1,0
1,1,34,0,1,0,10,1
1,3,41,0,0,0,1,0
1,1,23,0,0,0,0,0
0,1,47,0,0,0,19,1
1,1,26,0,0,0,2,0
1,0,27,0,0,0,1,1
1,2,24,0,0,0,1,1
1,2,21,0,2,1,2,1
1,2,24,0,0,0,1,0
1,1,39,0,0,0,0,0
